txn_id,date,customer_id,category,amount,paid_via_paytm,time_slot
TXN00001,2026-07-20,CUST0011,Snacks,74.04,False,Morning
TXN00002,2026-07-20,CUST0020,Groceries,47.83,False,Evening
TXN00003,2026-07-20,CUST0021,Groceries,101.97,False,Morning
TXN00004,2026-07-20,CUST0023,Snacks,86.76,False,Evening
TXN00005,2026-07-20,CUST0024,Groceries,254.08,True,Evening
TXN00006,2026-07-20,CUST0026,Household,67.92,True,Evening
TXN00007,2026-07-20,CUST0042,Snacks,36.32,False,Evening
TXN00008,2026-07-20,CUST0052,Dairy,67.07,False,Morning
TXN00009,2026-07-20,CUST0053,Groceries,97.96,True,Afternoon
TXN00010,2026-07-20,CUST0066,Beverages,172.55,False,Evening
TXN00011,2026-07-20,CUST0076,Beverages,118.98,True,Afternoon
TXN00012,2026-07-20,CUST0081,Beverages,117.84,False,Morning
TXN00013,2026-07-20,CUST0084,Snacks,61.8,False,Evening
TXN00014,2026-07-20,CUST0101,Dairy,71.25,False,Afternoon
TXN00015,2026-07-20,CUST0102,Groceries,91.89,False,Evening
TXN00016,2026-07-20,CUST0105,Groceries,105.34,False,Evening
TXN00017,2026-07-20,CUST0107,Household,339.2,True,Afternoon
TXN00018,2026-07-20,CUST0113,Dairy,23.8,True,Afternoon
TXN00019,2026-07-20,CUST0114,Groceries,56.82,False,Morning
TXN00020,2026-07-20,CUST0123,Groceries,205.8,False,Morning
TXN00021,2026-07-20,CUST0129,Beverages,43.57,False,Morning
TXN00022,2026-07-20,CUST0139,Household,324.81,True,Evening
TXN00023,2026-07-20,CUST0148,Beverages,49.74,False,Evening
TXN00024,2026-07-20,CUST0149,Beverages,129.41,True,Afternoon
TXN00025,2026-07-20,CUST0158,Dairy,118.7,True,Afternoon
TXN00026,2026-07-20,CUST0167,Groceries,117.71,True,Evening
TXN00027,2026-07-20,CUST0174,Dairy,70.85,True,Evening
TXN00028,2026-07-20,CUST0182,Dairy,145.71,False,Morning
TXN00029,2026-07-20,CUST0193,Beverages,39.35,False,Evening
TXN00030,2026-07-20,CUST0197,Groceries,265.5,True,Afternoon
TXN00031,2026-07-20,CUST0203,Groceries,210.99,True,Evening
TXN00032,2026-07-20,CUST0220,Beverages,49.56,True,Evening
TXN00033,2026-07-20,CUST0227,Household,115.75,False,Afternoon
TXN00034,2026-07-20,CUST0236,Snacks,25.84,False,Morning
TXN00035,2026-07-20,CUST0247,Snacks,54.51,False,Afternoon
TXN00036,2026-07-20,CUST0256,Dairy,56.8,False,Evening
TXN00037,2026-07-20,CUST0259,Dairy,77.96,False,Afternoon
TXN00038,2026-07-20,CUST0267,Dairy,123.56,False,Afternoon
TXN00039,2026-07-20,CUST0270,Beverages,53.2,True,Evening
TXN00040,2026-07-20,CUST0271,Beverages,50.7,False,Morning
TXN00041,2026-07-20,CUST0272,Dairy,102.66,False,Afternoon
TXN00042,2026-07-20,CUST0280,Beverages,198.74,True,Afternoon
TXN00043,2026-07-20,CUST0281,Household,252.31,True,Evening
TXN00044,2026-07-20,CUST0292,Dairy,103.63,False,Morning
TXN00045,2026-07-20,CUST0302,Dairy,164.32,True,Afternoon
TXN00046,2026-07-20,CUST0303,Household,223.16,False,Evening
TXN00047,2026-07-20,CUST0305,Beverages,100.07,False,Afternoon
TXN00048,2026-07-20,CUST0318,Beverages,178.43,False,Morning
TXN00049,2026-07-20,CUST0320,Groceries,219.18,False,Morning
TXN00050,2026-07-20,CUST0321,Groceries,156.26,False,Evening
TXN00051,2026-07-20,CUST0322,Snacks,57.93,False,Evening
TXN00052,2026-07-20,CUST0323,Household,271.08,False,Afternoon
TXN00053,2026-07-20,CUST0346,Dairy,101.33,True,Afternoon
TXN00054,2026-07-20,CUST0357,Snacks,38.29,True,Evening
TXN00055,2026-07-20,CUST0358,Household,374.35,False,Morning
TXN00056,2026-07-20,CUST0363,Dairy,122.45,False,Afternoon
TXN00057,2026-07-20,CUST0365,Beverages,75.05,False,Morning
TXN00058,2026-07-20,CUST0366,Beverages,114.35,True,Evening
TXN00059,2026-07-20,CUST0378,Groceries,324.95,False,Afternoon
TXN00060,2026-07-20,CUST0389,Dairy,85.14,True,Evening
TXN00061,2026-07-20,CUST0407,Groceries,119.92,True,Afternoon
TXN00062,2026-07-20,CUST0424,Beverages,72.09,False,Afternoon
TXN00063,2026-07-20,CUST0429,Dairy,159.64,True,Afternoon
TXN00064,2026-07-20,CUST0433,Groceries,77.16,False,Afternoon
TXN00065,2026-07-20,CUST0437,Beverages,192.65,True,Evening
TXN00066,2026-07-20,CUST0444,Beverages,74.05,True,Evening
TXN00067,2026-07-20,CUST0458,Dairy,80.71,False,Morning
TXN00068,2026-07-20,CUST0459,Snacks,79.34,True,Afternoon
TXN00069,2026-07-20,CUST0466,Snacks,53.33,False,Evening
TXN00070,2026-07-20,CUST0481,Household,214.85,False,Afternoon
TXN00071,2026-07-20,CUST0491,Snacks,65.04,True,Afternoon
TXN00072,2026-07-20,CUST0498,Groceries,148.84,False,Evening
TXN00073,2026-07-20,CUST0510,Beverages,75.14,True,Morning
TXN00074,2026-07-20,CUST0511,Dairy,122.49,False,Morning
TXN00075,2026-07-20,CUST0516,Snacks,38.96,True,Evening
TXN00076,2026-07-20,CUST0527,Groceries,78.76,False,Afternoon
TXN00077,2026-07-20,CUST0532,Household,68.11,False,Morning
TXN00078,2026-07-20,CUST0533,Household,232.92,False,Evening
TXN00079,2026-07-20,CUST0534,Household,223.87,False,Morning
TXN00080,2026-07-20,CUST0536,Beverages,52.17,False,Afternoon
TXN00081,2026-07-20,CUST0543,Dairy,24.57,False,Afternoon
TXN00082,2026-07-20,CUST0554,Beverages,104.9,True,Evening
TXN00083,2026-07-20,CUST0565,Groceries,40.03,True,Afternoon
TXN00084,2026-07-20,CUST0569,Household,380.37,True,Afternoon
TXN00085,2026-07-20,CUST0570,Household,325.25,False,Afternoon
TXN00086,2026-07-20,CUST0574,Beverages,101.49,True,Afternoon
TXN00087,2026-07-20,CUST0579,Dairy,102.66,True,Morning
TXN00088,2026-07-20,CUST0587,Dairy,66.34,False,Morning
TXN00089,2026-07-20,CUST0592,Groceries,87.17,False,Morning
TXN00090,2026-07-20,CUST0593,Groceries,127.46,False,Evening
TXN00091,2026-07-20,CUST0594,Household,299.03,True,Evening
TXN00092,2026-07-20,CUST0595,Household,110.36,False,Morning
TXN00093,2026-07-20,CUST0601,Groceries,301.5,False,Morning
TXN00094,2026-07-20,CUST0605,Household,97.19,True,Evening
TXN00095,2026-07-20,CUST0608,Dairy,81.57,False,Evening
TXN00096,2026-07-20,CUST0612,Groceries,201.55,False,Afternoon
TXN00097,2026-07-20,CUST0619,Beverages,116.16,False,Afternoon
TXN00098,2026-07-21,CUST0002,Groceries,307.73,False,Morning
TXN00099,2026-07-21,CUST0011,Groceries,220.13,False,Morning
TXN00100,2026-07-21,CUST0014,Groceries,117.1,True,Evening
TXN00101,2026-07-21,CUST0019,Snacks,82.68,False,Afternoon
TXN00102,2026-07-21,CUST0029,Household,162.52,False,Afternoon
TXN00103,2026-07-21,CUST0030,Groceries,190.44,True,Evening
TXN00104,2026-07-21,CUST0033,Dairy,106.98,True,Evening
TXN00105,2026-07-21,CUST0038,Beverages,52.13,False,Evening
TXN00106,2026-07-21,CUST0042,Beverages,91.33,False,Evening
TXN00107,2026-07-21,CUST0043,Groceries,232.12,True,Evening
TXN00108,2026-07-21,CUST0046,Beverages,168.33,False,Evening
TXN00109,2026-07-21,CUST0047,Household,313.32,False,Evening
TXN00110,2026-07-21,CUST0052,Groceries,53.57,False,Morning
TXN00111,2026-07-21,CUST0054,Groceries,102.64,False,Afternoon
TXN00112,2026-07-21,CUST0056,Beverages,137.31,True,Afternoon
TXN00113,2026-07-21,CUST0060,Dairy,116.95,False,Evening
TXN00114,2026-07-21,CUST0061,Dairy,124.92,False,Morning
TXN00115,2026-07-21,CUST0071,Beverages,71.52,True,Afternoon
